DELAY,PULSE WIDTH,PULSE VARIANCE,Wed Apr 12 14:39:27 2017,,,,
0,0E,1,Wed Apr 12 14:39:36 2017,,,,14
0,24,0,Wed Apr 12 14:39:39 2017,,,,36
0,F6,1,Wed Apr 12 14:39:49 2017,,,,246
0,7D,1,Wed Apr 12 14:39:54 2017,,,,125
0,8,1,Wed Apr 12 14:39:56 2017,,,,8
0,18,1,Wed Apr 12 14:40:02 2017,,,,24
0,D1,1,Wed Apr 12 14:40:09 2017,,,,209
0,FE,1,Wed Apr 12 14:40:19 2017,,,,254
0,0F,1,Wed Apr 12 14:40:21 2017,,,,15
0,2E,1,Wed Apr 12 14:40:24 2017,,,,46
0,27,1,Wed Apr 12 14:40:25 2017,,,,39
0,F7,1,Wed Apr 12 14:40:32 2017,,,,247
0,F2,1,Wed Apr 12 14:40:40 2017,,,,242
0,E4,1,Wed Apr 12 14:40:51 2017,,,,228
0,B3,1,Wed Apr 12 14:41:01 2017,,,,179
0,0E,1,Wed Apr 12 14:41:07 2017,,,,14
0,A3,1,Wed Apr 12 14:41:13 2017,,,,163
0,17,1,Wed Apr 12 14:41:20 2017,,,,23
0,18,1,Wed Apr 12 14:41:22 2017,,,,24
0,A3,1,Wed Apr 12 14:41:30 2017,,,,163
0,1E,1,Wed Apr 12 14:41:34 2017,,,,30
0,C2,1,Wed Apr 12 14:41:46 2017,,,,194
0,46,1,Wed Apr 12 14:41:53 2017,,,,70
0,A6,1,Wed Apr 12 14:41:59 2017,,,,166
0,D9,1,Wed Apr 12 14:42:09 2017,,,,217
0,CE,1,Wed Apr 12 14:42:21 2017,,,,206
0,FF,1,Wed Apr 12 14:42:34 2017,,,,255
0,1,1,Wed Apr 12 14:42:38 2017,,,,1
0,55,1,Wed Apr 12 14:42:44 2017,,,,85
0,5D,1,Wed Apr 12 14:42:48 2017,,,,93
0,A0,1,Wed Apr 12 14:42:59 2017,,,,160
0,0B,1,Wed Apr 12 14:43:03 2017,,,,11
0,BA,1,Wed Apr 12 14:43:15 2017,,,,186
0,DD,1,Wed Apr 12 14:43:25 2017,,,,221
0,18,1,Wed Apr 12 14:43:26 2017,,,,24
0,8D,1,Wed Apr 12 14:43:36 2017,,,,141
0,D3,1,Wed Apr 12 14:43:43 2017,,,,211
0,8D,1,Wed Apr 12 14:43:54 2017,,,,141
0,70,1,Wed Apr 12 14:44:03 2017,,,,112
0,48,1,Wed Apr 12 14:44:08 2017,,,,72
0,BE,1,Wed Apr 12 14:44:16 2017,,,,190
0,0A,1,Wed Apr 12 14:44:21 2017,,,,10
0,62,1,Wed Apr 12 14:44:29 2017,,,,98
0,36,1,Wed Apr 12 14:44:33 2017,,,,54
0,FB,1,Wed Apr 12 14:44:43 2017,,,,251
0,7E,1,Wed Apr 12 14:44:48 2017,,,,126
0,0E,1,Wed Apr 12 14:44:55 2017,,,,14
0,F4,1,Wed Apr 12 14:45:08 2017,,,,244
0,62,1,Wed Apr 12 14:45:13 2017,,,,98
0,AF,1,Wed Apr 12 14:45:22 2017,,,,175
0,8E,1,Wed Apr 12 14:45:30 2017,,,,142
0,65,1,Wed Apr 12 14:45:36 2017,,,,101
0,BE,1,Wed Apr 12 14:45:45 2017,,,,190
0,0A,1,Wed Apr 12 14:45:50 2017,,,,10
0,62,1,Wed Apr 12 14:45:59 2017,,,,98
0,36,1,Wed Apr 12 14:46:02 2017,,,,54
0,FB,1,Wed Apr 12 14:46:13 2017,,,,251
0,7E,1,Wed Apr 12 14:46:18 2017,,,,126
0,0E,1,Wed Apr 12 14:46:24 2017,,,,14
0,F4,1,Wed Apr 12 14:46:38 2017,,,,244
0,62,1,Wed Apr 12 14:46:43 2017,,,,98
0,AF,1,Wed Apr 12 14:46:51 2017,,,,175
0,8E,1,Wed Apr 12 14:47:00 2017,,,,142
0,65,1,Wed Apr 12 14:47:06 2017,,,,101
0,BE,1,Wed Apr 12 14:47:15 2017,,,,190
0,0A,1,Wed Apr 12 14:47:20 2017,,,,10
0,62,1,Wed Apr 12 14:47:28 2017,,,,98
0,36,1,Wed Apr 12 14:47:32 2017,,,,54
0,FB,1,Wed Apr 12 14:47:42 2017,,,,251
0,7E,1,Wed Apr 12 14:47:48 2017,,,,126
0,0E,1,Wed Apr 12 14:47:54 2017,,,,14
0,F4,1,Wed Apr 12 14:48:08 2017,,,,244
0,62,1,Wed Apr 12 14:48:13 2017,,,,98
0,AF,1,Wed Apr 12 14:48:21 2017,,,,175
0,8E,1,Wed Apr 12 14:48:30 2017,,,,142
0,65,1,Wed Apr 12 14:48:36 2017,,,,101
0,BE,1,Wed Apr 12 14:48:45 2017,,,,190
0,0A,1,Wed Apr 12 14:48:50 2017,,,,10
0,62,1,Wed Apr 12 14:48:58 2017,,,,98
0,36,1,Wed Apr 12 14:49:02 2017,,,,54
0,FB,1,Wed Apr 12 14:49:12 2017,,,,251
0,7E,1,Wed Apr 12 14:49:17 2017,,,,126
0,0E,1,Wed Apr 12 14:49:24 2017,,,,14
0,F4,1,Wed Apr 12 14:49:38 2017,,,,244
0,62,1,Wed Apr 12 14:49:43 2017,,,,98
0,AF,1,Wed Apr 12 14:49:51 2017,,,,175
0,8E,1,Wed Apr 12 14:49:59 2017,,,,142
0,65,1,Wed Apr 12 14:50:05 2017,,,,101
0,BE,1,Wed Apr 12 14:50:15 2017,,,,190
0,0A,1,Wed Apr 12 14:50:20 2017,,,,10
0,62,1,Wed Apr 12 14:50:28 2017,,,,98
0,36,1,Wed Apr 12 14:50:32 2017,,,,54
0,FB,1,Wed Apr 12 14:50:42 2017,,,,251
0,7E,1,Wed Apr 12 14:50:47 2017,,,,126
0,0E,1,Wed Apr 12 14:50:54 2017,,,,14
0,F4,1,Wed Apr 12 14:51:07 2017,,,,244
0,62,1,Wed Apr 12 14:51:13 2017,,,,98
0,AF,1,Wed Apr 12 14:51:21 2017,,,,175
0,8E,1,Wed Apr 12 14:51:29 2017,,,,142
0,65,1,Wed Apr 12 14:51:35 2017,,,,101
0,BE,1,Wed Apr 12 14:51:45 2017,,,,190
0,0A,1,Wed Apr 12 14:51:49 2017,,,,10
0,62,1,Wed Apr 12 14:51:58 2017,,,,98
0,36,1,Wed Apr 12 14:52:02 2017,,,,54
0,FB,1,Wed Apr 12 14:52:12 2017,,,,251
0,7E,1,Wed Apr 12 14:52:17 2017,,,,126
0,0E,1,Wed Apr 12 14:52:23 2017,,,,14
0,F4,1,Wed Apr 12 14:52:37 2017,,,,244
0,62,1,Wed Apr 12 14:52:42 2017,,,,98
0,AF,1,Wed Apr 12 14:52:50 2017,,,,175
0,8E,1,Wed Apr 12 14:52:59 2017,,,,142
0,65,1,Wed Apr 12 14:53:05 2017,,,,101
0,BE,1,Wed Apr 12 14:53:14 2017,,,,190
0,0A,1,Wed Apr 12 14:53:19 2017,,,,10
0,62,1,Wed Apr 12 14:53:27 2017,,,,98
0,36,1,Wed Apr 12 14:53:31 2017,,,,54
0,FB,1,Wed Apr 12 14:53:41 2017,,,,251
0,7E,1,Wed Apr 12 14:53:47 2017,,,,126
0,0E,1,Wed Apr 12 14:53:53 2017,,,,14
0,F4,1,Wed Apr 12 14:54:07 2017,,,,244
0,62,1,Wed Apr 12 14:54:12 2017,,,,98
0,AF,1,Wed Apr 12 14:54:20 2017,,,,175
0,8E,1,Wed Apr 12 14:54:29 2017,,,,142
0,65,1,Wed Apr 12 14:54:35 2017,,,,101
0,BE,1,Wed Apr 12 14:54:44 2017,,,,190
0,0A,0,Wed Apr 12 14:54:49 2017,,,,10
0,30,0,Wed Apr 12 14:54:57 2017,,,,48
0,B3,1,Wed Apr 12 14:55:08 2017,,,,179
0,6A,1,Wed Apr 12 14:55:17 2017,,,,106
0,D2,1,Wed Apr 12 14:55:29 2017,,,,210
0,8F,1,Wed Apr 12 14:55:35 2017,,,,143
0,12,1,Wed Apr 12 14:55:41 2017,,,,18
0,48,1,Wed Apr 12 14:55:48 2017,,,,72
0,53,1,Wed Apr 12 14:55:51 2017,,,,83
0,AA,1,Wed Apr 12 14:55:58 2017,,,,170
0,D3,1,Wed Apr 12 14:56:06 2017,,,,211
0,7,1,Wed Apr 12 14:56:11 2017,,,,7
0,1F,1,Wed Apr 12 14:56:13 2017,,,,31
0,AB,1,Wed Apr 12 14:56:21 2017,,,,171
0,CF,1,Wed Apr 12 14:56:27 2017,,,,207
0,25,1,Wed Apr 12 14:56:35 2017,,,,37
0,4E,1,Wed Apr 12 14:56:41 2017,,,,78
0,4D,1,Wed Apr 12 14:56:45 2017,,,,77
0,E1,1,Wed Apr 12 14:56:55 2017,,,,225
0,6E,1,Wed Apr 12 14:57:05 2017,,,,110
0,D3,1,Wed Apr 12 14:57:14 2017,,,,211
0,7,1,Wed Apr 12 14:57:19 2017,,,,7
0,1F,1,Wed Apr 12 14:57:21 2017,,,,31
0,AB,1,Wed Apr 12 14:57:29 2017,,,,171
0,CF,1,Wed Apr 12 14:57:35 2017,,,,207
0,25,1,Wed Apr 12 14:57:43 2017,,,,37
0,4E,1,Wed Apr 12 14:57:49 2017,,,,78
0,4D,1,Wed Apr 12 14:57:53 2017,,,,77
0,E1,1,Wed Apr 12 14:58:03 2017,,,,225
0,6E,1,Wed Apr 12 14:58:13 2017,,,,110
0,D3,1,Wed Apr 12 14:58:22 2017,,,,211
0,7,1,Wed Apr 12 14:58:27 2017,,,,7
0,1F,1,Wed Apr 12 14:58:29 2017,,,,31
0,AB,1,Wed Apr 12 14:58:37 2017,,,,171
0,CF,1,Wed Apr 12 14:58:43 2017,,,,207
0,25,1,Wed Apr 12 14:58:51 2017,,,,37
0,4E,1,Wed Apr 12 14:58:57 2017,,,,78
0,4D,1,Wed Apr 12 14:59:01 2017,,,,77
0,E1,1,Wed Apr 12 14:59:11 2017,,,,225
0,6E,1,Wed Apr 12 14:59:21 2017,,,,110
0,D3,1,Wed Apr 12 14:59:29 2017,,,,211
0,7,1,Wed Apr 12 14:59:35 2017,,,,7
0,1F,1,Wed Apr 12 14:59:37 2017,,,,31
0,AB,1,Wed Apr 12 14:59:44 2017,,,,171
0,CF,1,Wed Apr 12 14:59:51 2017,,,,207
0,25,1,Wed Apr 12 14:59:58 2017,,,,37
0,4E,1,Wed Apr 12 15:00:05 2017,,,,78
0,4D,1,Wed Apr 12 15:00:09 2017,,,,77
0,E1,0,Wed Apr 12 15:00:19 2017,,,,225
0,9B,1,Wed Apr 12 15:00:28 2017,,,,155
0,4C,1,Wed Apr 12 15:00:31 2017,,,,76
0,BC,1,Wed Apr 12 15:00:36 2017,,,,188
0,F8,1,Wed Apr 12 15:00:48 2017,,,,248
0,DA,1,Wed Apr 12 15:00:59 2017,,,,218
0,91,1,Wed Apr 12 15:01:10 2017,,,,145
0,FC,1,Wed Apr 12 15:01:21 2017,,,,252
0,BD,1,Wed Apr 12 15:01:31 2017,,,,189
0,0E,1,Wed Apr 12 15:01:37 2017,,,,14
0,A3,1,Wed Apr 12 15:01:43 2017,,,,163
0,17,1,Wed Apr 12 15:01:49 2017,,,,23
0,18,1,Wed Apr 12 15:01:51 2017,,,,24
0,A3,1,Wed Apr 12 15:01:59 2017,,,,163
0,1E,1,Wed Apr 12 15:02:04 2017,,,,30
0,C2,1,Wed Apr 12 15:02:16 2017,,,,194
0,46,1,Wed Apr 12 15:02:22 2017,,,,70
0,A6,1,Wed Apr 12 15:02:29 2017,,,,166
0,D9,1,Wed Apr 12 15:02:38 2017,,,,217
0,CE,1,Wed Apr 12 15:02:51 2017,,,,206
0,FF,1,Wed Apr 12 15:03:04 2017,,,,255
0,1,1,Wed Apr 12 15:03:08 2017,,,,1
0,55,1,Wed Apr 12 15:03:14 2017,,,,85
0,5D,1,Wed Apr 12 15:03:18 2017,,,,93
0,A0,1,Wed Apr 12 15:03:28 2017,,,,160
0,0B,1,Wed Apr 12 15:03:32 2017,,,,11
0,BA,1,Wed Apr 12 15:03:45 2017,,,,186
0,DD,1,Wed Apr 12 15:03:54 2017,,,,221
0,18,1,Wed Apr 12 15:03:55 2017,,,,24
0,8D,1,Wed Apr 12 15:04:05 2017,,,,141
0,D3,1,Wed Apr 12 15:04:13 2017,,,,211
0,8D,1,Wed Apr 12 15:04:23 2017,,,,141
0,70,1,Wed Apr 12 15:04:32 2017,,,,112
0,48,1,Wed Apr 12 15:04:37 2017,,,,72
0,BE,1,Wed Apr 12 15:04:45 2017,,,,190
0,0A,1,Wed Apr 12 15:04:50 2017,,,,10
0,62,1,Wed Apr 12 15:04:58 2017,,,,98
0,36,1,Wed Apr 12 15:05:02 2017,,,,54
0,FB,1,Wed Apr 12 15:05:12 2017,,,,251
0,7E,1,Wed Apr 12 15:05:18 2017,,,,126
0,0E,1,Wed Apr 12 15:05:24 2017,,,,14
0,F4,1,Wed Apr 12 15:05:38 2017,,,,244
0,62,1,Wed Apr 12 15:05:43 2017,,,,98
0,AF,1,Wed Apr 12 15:05:51 2017,,,,175
0,8E,1,Wed Apr 12 15:05:59 2017,,,,142
0,65,1,Wed Apr 12 15:06:05 2017,,,,101
0,BE,1,Wed Apr 12 15:06:15 2017,,,,190
0,0A,1,Wed Apr 12 15:06:20 2017,,,,10
0,62,1,Wed Apr 12 15:06:28 2017,,,,98
0,36,1,Wed Apr 12 15:06:32 2017,,,,54
0,FB,1,Wed Apr 12 15:06:42 2017,,,,251
0,7E,1,Wed Apr 12 15:06:47 2017,,,,126
0,0E,1,Wed Apr 12 15:06:54 2017,,,,14
0,F4,1,Wed Apr 12 15:07:08 2017,,,,244
0,62,1,Wed Apr 12 15:07:13 2017,,,,98
0,AF,1,Wed Apr 12 15:07:21 2017,,,,175
0,8E,1,Wed Apr 12 15:07:29 2017,,,,142
0,65,1,Wed Apr 12 15:07:35 2017,,,,101
0,BE,1,Wed Apr 12 15:07:45 2017,,,,190
0,0A,1,Wed Apr 12 15:07:49 2017,,,,10
0,62,1,Wed Apr 12 15:07:58 2017,,,,98
0,36,1,Wed Apr 12 15:08:02 2017,,,,54
0,FB,1,Wed Apr 12 15:08:12 2017,,,,251
0,7E,1,Wed Apr 12 15:08:17 2017,,,,126
0,0E,1,Wed Apr 12 15:08:24 2017,,,,14
0,F4,1,Wed Apr 12 15:08:37 2017,,,,244
0,62,1,Wed Apr 12 15:08:42 2017,,,,98
0,AF,1,Wed Apr 12 15:08:51 2017,,,,175
0,8E,1,Wed Apr 12 15:08:59 2017,,,,142
0,65,1,Wed Apr 12 15:09:05 2017,,,,101
0,BE,1,Wed Apr 12 15:09:14 2017,,,,190
0,0A,1,Wed Apr 12 15:09:19 2017,,,,10
0,62,1,Wed Apr 12 15:09:27 2017,,,,98
0,36,1,Wed Apr 12 15:09:31 2017,,,,54
0,FB,1,Wed Apr 12 15:09:41 2017,,,,251
0,7E,0,Wed Apr 12 15:09:47 2017,,,,126
0,71,1,Wed Apr 12 15:09:56 2017,,,,113
0,D3,1,Wed Apr 12 15:10:05 2017,,,,211
0,37,1,Wed Apr 12 15:10:08 2017,,,,55
0,AC,1,Wed Apr 12 15:10:14 2017,,,,172
0,89,1,Wed Apr 12 15:10:18 2017,,,,137
0,65,0,Wed Apr 12 15:10:28 2017,,,,101
0,3F,1,Wed Apr 12 15:10:32 2017,,,,63
0,A4,1,Wed Apr 12 15:10:44 2017,,,,164
0,AA,1,Wed Apr 12 15:10:54 2017,,,,170
0,66,1,Wed Apr 12 15:10:58 2017,,,,102
0,AD,1,Wed Apr 12 15:11:10 2017,,,,173
0,84,1,Wed Apr 12 15:11:14 2017,,,,132
0,83,0,Wed Apr 12 15:11:20 2017,,,,131
0,A4,1,Wed Apr 12 15:11:25 2017,,,,164
0,70,1,Wed Apr 12 15:11:29 2017,,,,112
0,A3,1,Wed Apr 12 15:11:40 2017,,,,163
0,68,1,Wed Apr 12 15:11:47 2017,,,,104
0,F8,1,Wed Apr 12 15:11:55 2017,,,,248
0,0E,1,Wed Apr 12 15:12:02 2017,,,,14
0,F4,1,Wed Apr 12 15:12:16 2017,,,,244
0,62,1,Wed Apr 12 15:12:21 2017,,,,98
0,AF,1,Wed Apr 12 15:12:29 2017,,,,175
0,8E,1,Wed Apr 12 15:12:37 2017,,,,142
0,65,1,Wed Apr 12 15:12:43 2017,,,,101
0,BE,1,Wed Apr 12 15:12:53 2017,,,,190
0,0A,1,Wed Apr 12 15:12:58 2017,,,,10
0,62,1,Wed Apr 12 15:13:06 2017,,,,98
0,36,1,Wed Apr 12 15:13:10 2017,,,,54
0,FB,1,Wed Apr 12 15:13:20 2017,,,,251
0,7E,1,Wed Apr 12 15:13:25 2017,,,,126
0,0E,1,Wed Apr 12 15:13:32 2017,,,,14
0,F4,1,Wed Apr 12 15:13:45 2017,,,,244
0,62,1,Wed Apr 12 15:13:51 2017,,,,98
0,AF,1,Wed Apr 12 15:13:59 2017,,,,175
0,8E,1,Wed Apr 12 15:14:07 2017,,,,142
0,65,1,Wed Apr 12 15:14:13 2017,,,,101
0,BE,1,Wed Apr 12 15:14:23 2017,,,,190
0,0A,1,Wed Apr 12 15:14:27 2017,,,,10
0,62,1,Wed Apr 12 15:14:36 2017,,,,98
0,36,1,Wed Apr 12 15:14:40 2017,,,,54
0,FB,1,Wed Apr 12 15:14:50 2017,,,,251
0,7E,1,Wed Apr 12 15:14:55 2017,,,,126
0,0E,1,Wed Apr 12 15:15:01 2017,,,,14
0,F4,1,Wed Apr 12 15:15:15 2017,,,,244
0,62,1,Wed Apr 12 15:15:20 2017,,,,98
0,AF,0,Wed Apr 12 15:15:28 2017,,,,175
0,2D,1,Wed Apr 12 15:15:32 2017,,,,45
0,BE,1,Wed Apr 12 15:15:40 2017,,,,190
0,80,1,Wed Apr 12 15:15:50 2017,,,,128
0,D0,1,Wed Apr 12 15:16:02 2017,,,,208
0,DF,1,Wed Apr 12 15:16:14 2017,,,,223
0,40,1,Wed Apr 12 15:16:20 2017,,,,64
0,70,1,Wed Apr 12 15:16:29 2017,,,,112
0,48,1,Wed Apr 12 15:16:34 2017,,,,72
0,BE,1,Wed Apr 12 15:16:42 2017,,,,190
0,0A,1,Wed Apr 12 15:16:47 2017,,,,10
0,62,1,Wed Apr 12 15:16:55 2017,,,,98
0,36,1,Wed Apr 12 15:16:59 2017,,,,54
0,FB,1,Wed Apr 12 15:17:09 2017,,,,251
0,7E,1,Wed Apr 12 15:17:15 2017,,,,126
0,0E,1,Wed Apr 12 15:17:21 2017,,,,14
0,F4,1,Wed Apr 12 15:17:35 2017,,,,244
0,62,1,Wed Apr 12 15:17:40 2017,,,,98
0,AF,1,Wed Apr 12 15:17:48 2017,,,,175
0,8E,1,Wed Apr 12 15:17:56 2017,,,,142
0,65,1,Wed Apr 12 15:18:02 2017,,,,101
0,BE,1,Wed Apr 12 15:18:12 2017,,,,190
0,0A,1,Wed Apr 12 15:18:17 2017,,,,10
0,62,1,Wed Apr 12 15:18:25 2017,,,,98
0,36,1,Wed Apr 12 15:18:29 2017,,,,54
0,FB,1,Wed Apr 12 15:18:39 2017,,,,251
0,7E,1,Wed Apr 12 15:18:44 2017,,,,126
0,0E,1,Wed Apr 12 15:18:51 2017,,,,14
0,F4,1,Wed Apr 12 15:19:05 2017,,,,244
0,62,1,Wed Apr 12 15:19:10 2017,,,,98
0,AF,1,Wed Apr 12 15:19:18 2017,,,,175
0,8E,1,Wed Apr 12 15:19:26 2017,,,,142
0,65,1,Wed Apr 12 15:19:32 2017,,,,101
0,BE,1,Wed Apr 12 15:19:42 2017,,,,190
0,0A,1,Wed Apr 12 15:19:46 2017,,,,10
0,62,1,Wed Apr 12 15:19:55 2017,,,,98
0,36,1,Wed Apr 12 15:19:59 2017,,,,54
0,FB,1,Wed Apr 12 15:20:09 2017,,,,251
0,7E,1,Wed Apr 12 15:20:14 2017,,,,126
0,0E,1,Wed Apr 12 15:20:21 2017,,,,14
0,F4,1,Wed Apr 12 15:20:34 2017,,,,244
0,62,1,Wed Apr 12 15:20:39 2017,,,,98
0,AF,1,Wed Apr 12 15:20:48 2017,,,,175
0,8E,1,Wed Apr 12 15:20:56 2017,,,,142
0,65,1,Wed Apr 12 15:21:02 2017,,,,101
0,BE,1,Wed Apr 12 15:21:11 2017,,,,190
0,0A,1,Wed Apr 12 15:21:16 2017,,,,10
0,62,1,Wed Apr 12 15:21:25 2017,,,,98
0,36,1,Wed Apr 12 15:21:28 2017,,,,54
0,FB,1,Wed Apr 12 15:21:38 2017,,,,251
0,7E,1,Wed Apr 12 15:21:44 2017,,,,126
0,0E,1,Wed Apr 12 15:21:50 2017,,,,14
0,F4,1,Wed Apr 12 15:22:04 2017,,,,244
0,62,1,Wed Apr 12 15:22:09 2017,,,,98
0,AF,1,Wed Apr 12 15:22:17 2017,,,,175
0,8E,1,Wed Apr 12 15:22:26 2017,,,,142
0,65,1,Wed Apr 12 15:22:32 2017,,,,101
0,BE,1,Wed Apr 12 15:22:41 2017,,,,190
0,0A,1,Wed Apr 12 15:22:46 2017,,,,10
0,62,1,Wed Apr 12 15:22:54 2017,,,,98
0,36,1,Wed Apr 12 15:22:58 2017,,,,54
0,FB,1,Wed Apr 12 15:23:08 2017,,,,251
0,7E,1,Wed Apr 12 15:23:14 2017,,,,126
0,0E,1,Wed Apr 12 15:23:20 2017,,,,14
0,F4,1,Wed Apr 12 15:23:34 2017,,,,244
0,62,1,Wed Apr 12 15:23:39 2017,,,,98
0,AF,1,Wed Apr 12 15:23:47 2017,,,,175
0,8E,1,Wed Apr 12 15:23:56 2017,,,,142
0,65,1,Wed Apr 12 15:24:02 2017,,,,101
0,BE,1,Wed Apr 12 15:24:11 2017,,,,190
0,0A,1,Wed Apr 12 15:24:16 2017,,,,10
0,62,1,Wed Apr 12 15:24:24 2017,,,,98
0,36,1,Wed Apr 12 15:24:28 2017,,,,54
0,FB,1,Wed Apr 12 15:24:38 2017,,,,251
0,7E,1,Wed Apr 12 15:24:43 2017,,,,126
0,0E,1,Wed Apr 12 15:24:50 2017,,,,14
0,F4,1,Wed Apr 12 15:25:04 2017,,,,244
0,62,1,Wed Apr 12 15:25:09 2017,,,,98
0,AF,1,Wed Apr 12 15:25:17 2017,,,,175
0,8E,1,Wed Apr 12 15:25:25 2017,,,,142
